"origin","destination","lane","bookings"
achad,chennai,achad-chennai,1
achad,kolkata,achad-kolkata,2
achampet,bapulapadu,achampet-bapulapadu,1
achampet,challapalli,achampet-challapalli,1
achampet,kolkata,achampet-kolkata,1
achampet,nunna,achampet-nunna,1
achampet,sattenapalle,achampet-sattenapalle,1
achampet,srikakulam,achampet-srikakulam,1
achampet,tirupati,achampet-tirupati,5
achampet,vijayawada,achampet-vijayawada,1
achampet,visakhapatnam,achampet-visakhapatnam,1
addanki,adilabad,addanki-adilabad,3
addanki,adoni,addanki-adoni,1
addanki,allagadda,addanki-allagadda,2
addanki,alluru,addanki-alluru,1
addanki,almaspur,addanki-almaspur,4
addanki,anantapur,addanki-anantapur,6
addanki,angallu,addanki-angallu,1
addanki,aragonda,addanki-aragonda,1
addanki,atmakur,addanki-atmakur,18
addanki,bangalore,addanki-bangalore,22
addanki,bangarupalem,addanki-bangarupalem,1
addanki,belagavi,addanki-belagavi,5
addanki,bengaluru,addanki-bengaluru,11
addanki,betamcherla,addanki-betamcherla,3
addanki,bhadrachalam,addanki-bhadrachalam,2
addanki,bhubaneswar,addanki-bhubaneswar,13
addanki,bhupalpally,addanki-bhupalpally,2
addanki,bidar,addanki-bidar,3
addanki,chennai,addanki-chennai,6
addanki,chilamathur,addanki-chilamathur,1
addanki,chinna_tekur,addanki-chinna_tekur,5
addanki,chowdepalle,addanki-chowdepalle,1
addanki,coimbatore,addanki-coimbatore,13
addanki,dhone,addanki-dhone,1
addanki,eluru,addanki-eluru,2
addanki,ernakulam,addanki-ernakulam,4
addanki,gadwal,addanki-gadwal,1
addanki,gangavaram,addanki-gangavaram,1
addanki,gooty,addanki-gooty,1
addanki,gudur,addanki-gudur,1
addanki,guntur,addanki-guntur,2
addanki,hindupuram,addanki-hindupuram,13
addanki,hosapete,addanki-hosapete,1
addanki,hyderabad,addanki-hyderabad,1
addanki,kadapa,addanki-kadapa,2
addanki,kadiri,addanki-kadiri,2
addanki,kakinada,addanki-kakinada,3
addanki,kakkalapalle_rural,addanki-kakkalapalle_rural,1
addanki,kallur,addanki-kallur,1
addanki,karimnagar,addanki-karimnagar,4
addanki,kavali,addanki-kavali,1
addanki,khammam,addanki-khammam,2
addanki,kochi,addanki-kochi,2
addanki,kodur,addanki-kodur,1
addanki,kolkata,addanki-kolkata,1
addanki,kondareddypalli,addanki-kondareddypalli,1
addanki,kothagudem,addanki-kothagudem,1
addanki,kothakota,addanki-kothakota,1
addanki,krnt,addanki-krnt,1
addanki,kurnool,addanki-kurnool,39
addanki,madurai,addanki-madurai,10
addanki,mancherial,addanki-mancherial,1
addanki,mangapet,addanki-mangapet,1
addanki,mantralayam,addanki-mantralayam,3
addanki,maripeda,addanki-maripeda,1
addanki,metpally,addanki-metpally,12
addanki,mominpet,addanki-mominpet,1
addanki,muddunoor,addanki-muddunoor,6
addanki,mudigubba,addanki-mudigubba,1
addanki,mudivedu,addanki-mudivedu,1
addanki,mulugu,addanki-mulugu,2
addanki,mydukur,addanki-mydukur,1
addanki,nandikotkur,addanki-nandikotkur,1
addanki,nandyal,addanki-nandyal,1
addanki,nizamabad,addanki-nizamabad,1
addanki,noonepalli,addanki-noonepalli,1
addanki,obulavaripalli,addanki-obulavaripalli,1
addanki,ongole,addanki-ongole,6
addanki,pagdiyal,addanki-pagdiyal,1
addanki,pagidyala,addanki-pagidyala,1
addanki,palasa_at_kasibugga,addanki-palasa_at_kasibugga,3
addanki,palasamudram,addanki-palasamudram,1
addanki,panyam,addanki-panyam,1
addanki,patna,addanki-patna,1
addanki,pedda_thandrapadu,addanki-pedda_thandrapadu,1
addanki,pedda_tippa_samudram,addanki-pedda_tippa_samudram,1
addanki,prodattur,addanki-prodattur,3
addanki,pune,addanki-pune,3
addanki,punganur,addanki-punganur,3
addanki,rajahmundry,addanki-rajahmundry,2
addanki,ramagundam,addanki-ramagundam,2
addanki,ramasamudram,addanki-ramasamudram,2
addanki,rapthadu,addanki-rapthadu,1
addanki,rayachoty,addanki-rayachoty,3
addanki,shanthipuram,addanki-shanthipuram,1
addanki,shivarampally_jagir,addanki-shivarampally_jagir,1
addanki,siddipet,addanki-siddipet,1
addanki,simhadripuram,addanki-simhadripuram,1
addanki,somala,addanki-somala,1
addanki,srikalahasti,addanki-srikalahasti,1
addanki,srirampur,addanki-srirampur,1
addanki,tadipatri,addanki-tadipatri,4
addanki,tanuku,addanki-tanuku,1
addanki,thamballapalle,addanki-thamballapalle,1
addanki,thottambedu,addanki-thottambedu,1
addanki,tirupati,addanki-tirupati,1
addanki,tvm,addanki-tvm,2
addanki,ulchala,addanki-ulchala,3
addanki,uravakonda,addanki-uravakonda,2
addanki,varanasi,addanki-varanasi,2
addanki,venkatagirikota,addanki-venkatagirikota,1
addanki,vijayawada,addanki-vijayawada,14
addanki,vikarabad,addanki-vikarabad,2
addanki,visakhapatnam,addanki-visakhapatnam,9
addanki,vizianagaram,addanki-vizianagaram,2
addanki,warangal,addanki-warangal,8
addanki,yemmiganur,addanki-yemmiganur,8
addanki,yerravaripalem,addanki-yerravaripalem,1
adilabad,adilabad,adilabad-adilabad,1
adilabad,anandapur,adilabad-anandapur,1
adilabad,anantapur,adilabad-anantapur,1
adilabad,belagavi,adilabad-belagavi,5
adilabad,bengaluru,adilabad-bengaluru,2
adilabad,bhubaneswar,adilabad-bhubaneswar,2
adilabad,chennai,adilabad-chennai,1
adilabad,coimbatore,adilabad-coimbatore,1
adilabad,ernakulam,adilabad-ernakulam,2
adilabad,hnk,adilabad-hnk,2
adilabad,kadiri,adilabad-kadiri,1
adilabad,kakinada,adilabad-kakinada,1
adilabad,khorda,adilabad-khorda,1
adilabad,kodumur,adilabad-kodumur,1
adilabad,kolkata,adilabad-kolkata,3
adilabad,kurnool,adilabad-kurnool,9
adilabad,metpally,adilabad-metpally,1
adilabad,mpl,adilabad-mpl,1
adilabad,muddunoor,adilabad-muddunoor,1
adilabad,nallacheruvu,adilabad-nallacheruvu,1
adilabad,pattikonda,adilabad-pattikonda,1
adilabad,peapully,adilabad-peapully,1
adilabad,podili,adilabad-podili,1
adilabad,rajampet,adilabad-rajampet,1
adilabad,ramagundam,adilabad-ramagundam,1
adilabad,sangareddy,adilabad-sangareddy,2
adilabad,sathyavedu,adilabad-sathyavedu,1
adilabad,venkatagirikota,adilabad-venkatagirikota,1
adilabad,vijayawada,adilabad-vijayawada,1
adilabad,warangal,adilabad-warangal,1
adilabad,yemmiganur,adilabad-yemmiganur,2
adoni,mancherial,adoni-mancherial,1
adoni,nandyal,adoni-nandyal,8
adoor,bangalore,adoor-bangalore,3
adoor,bengaluru,adoor-bengaluru,5
adoor,cherthala,adoor-cherthala,1
adoor,gudur,adoor-gudur,1
adoor,hosur,adoor-hosur,1
adoor,kadamattam,adoor-kadamattam,2
adoor,kaniyapuram,adoor-kaniyapuram,4
adoor,kannur,adoor-kannur,6
adoor,kattakkada,adoor-kattakkada,4
adoor,kattappana,adoor-kattappana,1
adoor,kattoor,adoor-kattoor,1
adoor,kayamkulam,adoor-kayamkulam,2
adoor,kochi,adoor-kochi,1
adoor,koothattukulam,adoor-koothattukulam,1
adoor,kozhikode,adoor-kozhikode,4
adoor,kuruppampady,adoor-kuruppampady,1
adoor,madurai,adoor-madurai,1
adoor,malappuram,adoor-malappuram,1
adoor,mangaluru,adoor-mangaluru,1
adoor,mysuru,adoor-mysuru,1
adoor,pathanamthitta,adoor-pathanamthitta,2
adoor,pune,adoor-pune,4
adoor,thoothukudi,adoor-thoothukudi,1
adoor,thrissur,adoor-thrissur,5
adoor,visakhapatnam,adoor-visakhapatnam,2
agali,bhubaneswar,agali-bhubaneswar,1
agali,coimbatore,agali-coimbatore,1
agra,gurgaon,agra-gurgaon,1
agra,manchar,agra-manchar,1
ahmedabad,ahmedabad,ahmedabad-ahmedabad,25
ahmedabad,bangalore,ahmedabad-bangalore,1
ahmedabad,bengaluru,ahmedabad-bengaluru,62
ahmedabad,bhiwandi,ahmedabad-bhiwandi,3
ahmedabad,chennai,ahmedabad-chennai,5
ahmedabad,chilamathur,ahmedabad-chilamathur,1
ahmedabad,delhi,ahmedabad-delhi,1
ahmedabad,devanahally,ahmedabad-devanahally,4
ahmedabad,ernakulam,ahmedabad-ernakulam,1
ahmedabad,farukh_nagar,ahmedabad-farukh_nagar,1
ahmedabad,ghaziabad,ahmedabad-ghaziabad,1
ahmedabad,greater_noida,ahmedabad-greater_noida,2
ahmedabad,gurugram,ahmedabad-gurugram,8
ahmedabad,guwahati,ahmedabad-guwahati,4
ahmedabad,hanumangarh,ahmedabad-hanumangarh,1
ahmedabad,hoskote,ahmedabad-hoskote,1
ahmedabad,hosur,ahmedabad-hosur,1
ahmedabad,hyderabad,ahmedabad-hyderabad,10
ahmedabad,jaipur,ahmedabad-jaipur,5
ahmedabad,jalandhar,ahmedabad-jalandhar,1
ahmedabad,jhajjar,ahmedabad-jhajjar,1
ahmedabad,kochi,ahmedabad-kochi,1
ahmedabad,kolkata,ahmedabad-kolkata,10
ahmedabad,kurnool,ahmedabad-kurnool,7
ahmedabad,lucknow,ahmedabad-lucknow,10
ahmedabad,luhari,ahmedabad-luhari,2
ahmedabad,mancherial,ahmedabad-mancherial,1
ahmedabad,mpl,ahmedabad-mpl,1
ahmedabad,mumbai,ahmedabad-mumbai,1
ahmedabad,nagpur,ahmedabad-nagpur,2
ahmedabad,navi_mumbai,ahmedabad-navi_mumbai,1
ahmedabad,patna,ahmedabad-patna,2
ahmedabad,pune,ahmedabad-pune,7
ahmedabad,surat,ahmedabad-surat,41
ahmedabad,thane,ahmedabad-thane,2
ahmedabad,udaipur,ahmedabad-udaipur,3
ahmedabad,vadodara,ahmedabad-vadodara,7
ahmedabad,vijayawada,ahmedabad-vijayawada,1
ahmednagar,bengaluru,ahmednagar-bengaluru,8
ahmednagar,betamcherla,ahmednagar-betamcherla,1
ahmednagar,chennai,ahmednagar-chennai,10
ahmednagar,suryapet,ahmednagar-suryapet,1
ajmer,jaipur,ajmer-jaipur,1
alampur,bengaluru,alampur-bengaluru,1
alappuzha,adoor,alappuzha-adoor,1
alappuzha,chennai,alappuzha-chennai,1
alappuzha,kochi,alappuzha-kochi,1
alappuzha,kozhikode,alappuzha-kozhikode,1
alappuzha,pathanamthitta,alappuzha-pathanamthitta,1
aligarh,jaipur,aligarh-jaipur,1
allahabad,agra,allahabad-agra,5
allahabad,ahmedabad,allahabad-ahmedabad,5
allahabad,alwar,allahabad-alwar,2
allahabad,basti,allahabad-basti,1
allahabad,bhadrak,allahabad-bhadrak,1
allahabad,bhubaneswar,allahabad-bhubaneswar,1
allahabad,chapra,allahabad-chapra,1
allahabad,chhibramau,allahabad-chhibramau,1
allahabad,delhi,allahabad-delhi,14
allahabad,firozpur,allahabad-firozpur,1
allahabad,gorakhpur,allahabad-gorakhpur,2
allahabad,gurugram,allahabad-gurugram,3
allahabad,guwahati,allahabad-guwahati,4
allahabad,haldwani,allahabad-haldwani,2
allahabad,haridwar,allahabad-haridwar,1
allahabad,kanpur,allahabad-kanpur,2
allahabad,karnal,allahabad-karnal,2
allahabad,lucknow,allahabad-lucknow,5
allahabad,motihari,allahabad-motihari,6
allahabad,muzaffarpur,allahabad-muzaffarpur,2
allahabad,patna,allahabad-patna,1
allahabad,ramnagar,allahabad-ramnagar,1
allahabad,rishikesh,allahabad-rishikesh,1
allahabad,sahebganj,allahabad-sahebganj,1
allahabad,sonipat,allahabad-sonipat,4
allahabad,surat,allahabad-surat,1
allahabad,vadodara,allahabad-vadodara,6
allahabad,varanasi,allahabad-varanasi,3
allapalli,raigarh,allapalli-raigarh,9
alwar,abohar,alwar-abohar,9
alwar,agra,alwar-agra,34
alwar,ahmedabad,alwar-ahmedabad,1
alwar,ahore,alwar-ahore,1
alwar,ajmer,alwar-ajmer,19
alwar,aligarh,alwar-aligarh,12
alwar,ambala,alwar-ambala,25
alwar,amritsar,alwar-amritsar,7
alwar,anupgarh,alwar-anupgarh,1
alwar,arnod,alwar-arnod,1
alwar,asansol,alwar-asansol,33
alwar,ayodhya,alwar-ayodhya,1
alwar,bagha_purana,alwar-bagha_purana,1
alwar,baghpat,alwar-baghpat,1
alwar,bahadurgarh,alwar-bahadurgarh,1
alwar,baidyabati,alwar-baidyabati,14
alwar,bairgania,alwar-bairgania,8
alwar,balia,alwar-balia,1
alwar,balotra,alwar-balotra,4
alwar,banda,alwar-banda,1
alwar,banswara,alwar-banswara,38
alwar,barakar,alwar-barakar,1
alwar,barara,alwar-barara,1
alwar,bareilly,alwar-bareilly,8
alwar,bari,alwar-bari,1
alwar,barnala,alwar-barnala,2
alwar,basopatti,alwar-basopatti,15
alwar,baswara,alwar-baswara,2
alwar,bathinda,alwar-bathinda,33
alwar,beawar,alwar-beawar,1
alwar,begusarai,alwar-begusarai,12
alwar,bengaluru,alwar-bengaluru,8
alwar,bewar,alwar-bewar,2
alwar,bhagalpur,alwar-bhagalpur,43
alwar,bhagta_bhai_ka,alwar-bhagta_bhai_ka,1
alwar,bharatpur,alwar-bharatpur,9
alwar,bhilwara,alwar-bhilwara,91
alwar,bhiwadi,alwar-bhiwadi,13
alwar,bhubaneswar,alwar-bhubaneswar,2
alwar,bihariganj,alwar-bihariganj,5
alwar,bikaner,alwar-bikaner,8
alwar,bilaspur,alwar-bilaspur,6
alwar,brahmapur,alwar-brahmapur,1
alwar,budhlada,alwar-budhlada,4
alwar,bulandshahr,alwar-bulandshahr,1
alwar,bundi,alwar-bundi,4
alwar,buniadpur,alwar-buniadpur,2
alwar,chandigarh,alwar-chandigarh,8
alwar,chapra,alwar-chapra,44
alwar,chauradano,alwar-chauradano,1
alwar,cheeka,alwar-cheeka,10
alwar,chennai,alwar-chennai,2
alwar,chhoti_sadri,alwar-chhoti_sadri,1
alwar,chittoor,alwar-chittoor,1
alwar,chittorgarh,alwar-chittorgarh,69
alwar,chomu,alwar-chomu,2
alwar,churu,alwar-churu,5
alwar,cuttack,alwar-cuttack,12
alwar,dag,alwar-dag,1
alwar,danapur,alwar-danapur,16
alwar,dankuni,alwar-dankuni,2
alwar,darbhanga,alwar-darbhanga,12
alwar,daudnagar,alwar-daudnagar,2
alwar,dehradun,alwar-dehradun,6
alwar,delhi,alwar-delhi,65
alwar,desari,alwar-desari,1
alwar,dhanbad,alwar-dhanbad,1
alwar,dhankuni,alwar-dhankuni,1
alwar,dhuri,alwar-dhuri,11
alwar,dirba,alwar-dirba,1
alwar,etawah,alwar-etawah,1
alwar,faizabad,alwar-faizabad,11
alwar,faridabad,alwar-faridabad,43
alwar,faridkot,alwar-faridkot,2
alwar,firozpur,alwar-firozpur,1
alwar,forbesganj,alwar-forbesganj,11
alwar,ganaur,alwar-ganaur,1
alwar,gandhinagar,alwar-gandhinagar,1
alwar,ganpati_pur,alwar-ganpati_pur,1
alwar,ganpatpura,alwar-ganpatpura,1
alwar,gaya,alwar-gaya,3
alwar,gerabari,alwar-gerabari,5
alwar,ghaziabad,alwar-ghaziabad,46
alwar,ghorasahan,alwar-ghorasahan,11
alwar,gnt,alwar-gnt,1
alwar,gogri_jamalpur,alwar-gogri_jamalpur,3
alwar,gopalganj,alwar-gopalganj,5
alwar,gorakhpur,alwar-gorakhpur,10
alwar,goshalpur,alwar-goshalpur,1
alwar,greater_noida,alwar-greater_noida,1
alwar,gulabbagh,alwar-gulabbagh,9
alwar,gurdaspur,alwar-gurdaspur,6
alwar,gurugram,alwar-gurugram,48
alwar,guwahati,alwar-guwahati,8
alwar,gwalior,alwar-gwalior,9
alwar,hajipur,alwar-hajipur,15
alwar,haldwani,alwar-haldwani,3
alwar,hamirpur,alwar-hamirpur,3
alwar,hanumangarh,alwar-hanumangarh,4
alwar,haridwar,alwar-haridwar,2
alwar,hazaribagh,alwar-hazaribagh,1
alwar,hisar,alwar-hisar,2
alwar,hoshiarpur,alwar-hoshiarpur,1
alwar,hyderabad,alwar-hyderabad,5
alwar,indore,alwar-indore,1
alwar,indri,alwar-indri,2
alwar,jagraon,alwar-jagraon,1
alwar,jainpur,alwar-jainpur,1
alwar,jaipur,alwar-jaipur,132
alwar,jalandhar,alwar-jalandhar,42
alwar,jamgaon,alwar-jamgaon,1
alwar,jammu,alwar-jammu,2
alwar,jaunpur,alwar-jaunpur,3
alwar,jhalrapatan,alwar-jhalrapatan,3
alwar,jhunjhunu,alwar-jhunjhunu,12
alwar,jind,alwar-jind,3
alwar,jodhpur,alwar-jodhpur,22
alwar,kaithal,alwar-kaithal,1
alwar,kalanwali,alwar-kalanwali,2
alwar,kamtoul,alwar-kamtoul,4
alwar,kankroli,alwar-kankroli,3
alwar,kanpur,alwar-kanpur,19
alwar,karnal,alwar-karnal,22
alwar,katihar,alwar-katihar,4
alwar,khagaria,alwar-khagaria,3
alwar,kisanpur,alwar-kisanpur,1
alwar,kishangarh,alwar-kishangarh,4
alwar,kishanpur,alwar-kishanpur,1
alwar,kolkata,alwar-kolkata,35
alwar,kota,alwar-kota,33
alwar,kot_kapura,alwar-kot_kapura,2
alwar,kuchaman_city,alwar-kuchaman_city,5
alwar,kundli,alwar-kundli,1
alwar,kurukshetra,alwar-kurukshetra,9
alwar,kushinagar,alwar-kushinagar,1
alwar,ladwa,alwar-ladwa,9
alwar,lucknow,alwar-lucknow,57
alwar,ludhiana,alwar-ludhiana,15
alwar,madhubani,alwar-madhubani,16
alwar,mahendragarh,alwar-mahendragarh,1
alwar,mahisautha,alwar-mahisautha,1
alwar,malout,alwar-malout,4
alwar,mandi_dabwali,alwar-mandi_dabwali,2
alwar,mandi_gobindgarh,alwar-mandi_gobindgarh,1
alwar,mandor,alwar-mandor,1
alwar,mangalwad,alwar-mangalwad,2
alwar,mangalwar,alwar-mangalwar,5
alwar,mansa,alwar-mansa,2
alwar,masaurhi,alwar-masaurhi,3
alwar,mathura,alwar-mathura,14
alwar,mau,alwar-mau,2
alwar,meerut,alwar-meerut,13
alwar,moga,alwar-moga,2
alwar,mohammadpur,alwar-mohammadpur,5
alwar,morena,alwar-morena,3
alwar,motihari,alwar-motihari,15
alwar,mughalsarai,alwar-mughalsarai,5
alwar,muhamadpur,alwar-muhamadpur,7
alwar,munger,alwar-munger,6
alwar,muzaffarnagar,alwar-muzaffarnagar,9
alwar,muzaffarpur,alwar-muzaffarpur,204
alwar,nabha,alwar-nabha,1
alwar,nagaur,alwar-nagaur,4
alwar,najibabad,alwar-najibabad,1
alwar,naraingarh,alwar-naraingarh,2
alwar,narnaul,alwar-narnaul,4
alwar,nawa,alwar-nawa,1
alwar,neemuch,alwar-neemuch,1
alwar,nelamangala_town,alwar-nelamangala_town,16
alwar,nimbahera,alwar-nimbahera,1
alwar,noida,alwar-noida,50
alwar,nokha,alwar-nokha,1
alwar,palanpur,alwar-palanpur,1
alwar,palwal,alwar-palwal,1
alwar,panchkula,alwar-panchkula,53
alwar,panipat,alwar-panipat,29
alwar,paonta_sahib,alwar-paonta_sahib,1
alwar,pathankot,alwar-pathankot,7
alwar,patiala,alwar-patiala,33
alwar,patna,alwar-patna,193
alwar,patran,alwar-patran,10
alwar,pehowa,alwar-pehowa,7
alwar,phalodi,alwar-phalodi,2
alwar,pilkhuwa,alwar-pilkhuwa,1
alwar,pipal_khunta,alwar-pipal_khunta,1
alwar,pratapgarh,alwar-pratapgarh,7
alwar,prayagraj,alwar-prayagraj,7
alwar,pupri,alwar-pupri,7
alwar,purandaha,alwar-purandaha,1
alwar,purnia,alwar-purnia,113
alwar,pusa,alwar-pusa,2
alwar,raebareli,alwar-raebareli,4
alwar,raikot,alwar-raikot,2
alwar,raipur,alwar-raipur,1
alwar,rajpura,alwar-rajpura,1
alwar,rajsamand,alwar-rajsamand,22
alwar,rampura_phul,alwar-rampura_phul,3
alwar,raniganj,alwar-raniganj,1
alwar,ratia,alwar-ratia,2
alwar,raxaul,alwar-raxaul,7
alwar,raxual,alwar-raxual,1
alwar,riga,alwar-riga,1
alwar,rohtak,alwar-rohtak,18
alwar,ropar,alwar-ropar,1
alwar,rudrapur,alwar-rudrapur,1
alwar,runni_saidpur_dakshini,alwar-runni_saidpur_dakshini,1
alwar,runni_saidpur_madhya,alwar-runni_saidpur_madhya,13
alwar,rupnagar,alwar-rupnagar,2
alwar,saharanpur,alwar-saharanpur,7
alwar,saharsa,alwar-saharsa,5
alwar,sahibabad,alwar-sahibabad,3
alwar,samali,alwar-samali,1
alwar,samana,alwar-samana,1
alwar,samastipur,alwar-samastipur,20
alwar,sangrur,alwar-sangrur,4
alwar,sarai,alwar-sarai,3
alwar,sasaram,alwar-sasaram,1
alwar,sas_nagar,alwar-sas_nagar,7
alwar,sawai_madhopur,alwar-sawai_madhopur,1
alwar,sc,alwar-sc,5
alwar,shahpura,alwar-shahpura,1
alwar,sherghati,alwar-sherghati,8
alwar,shrimadhopur,alwar-shrimadhopur,3
alwar,sikar,alwar-sikar,13
alwar,siliguri,alwar-siliguri,32
alwar,singheshwar,alwar-singheshwar,3
alwar,sirsa,alwar-sirsa,9
alwar,sitamarhi,alwar-sitamarhi,15
alwar,sitapur,alwar-sitapur,4
alwar,sonipat,alwar-sonipat,30
alwar,sri_ganganagar,alwar-sri_ganganagar,31
alwar,srinagar,alwar-srinagar,9
alwar,sultanpur,alwar-sultanpur,3
alwar,sumerpur,alwar-sumerpur,5
alwar,sunam,alwar-sunam,4
alwar,supaul,alwar-supaul,10
alwar,surat,alwar-surat,1
alwar,suryapet,alwar-suryapet,3
alwar,tarn_taran_sahib,alwar-tarn_taran_sahib,1
alwar,thanesar,alwar-thanesar,1
alwar,udaipur,alwar-udaipur,14
alwar,una,alwar-una,2
alwar,varanasi,alwar-varanasi,37
alwar,yamuna_nagar,alwar-yamuna_nagar,3
alwar,zirakpur,alwar-zirakpur,1
amalapuram,bengaluru,amalapuram-bengaluru,1
amane,bengaluru,amane-bengaluru,1
amane,gurugram,amane-gurugram,3
amane,hojai,amane-hojai,1
amane,pune,amane-pune,2
amaravati,ernakulam,amaravati-ernakulam,2
amaravati,kakinada,amaravati-kakinada,1
ambala,ahmedabad,ambala-ahmedabad,2
ambala,alwar,ambala-alwar,1
ambala,bangalore,ambala-bangalore,9
ambala,bareilly,ambala-bareilly,1
ambala,bathinda,ambala-bathinda,1
ambala,bewar,ambala-bewar,1
ambala,bhagalpur,ambala-bhagalpur,1
ambala,cuttack,ambala-cuttack,54
ambala,dadri,ambala-dadri,3
ambala,falna,ambala-falna,8
ambala,ghaziabad,ambala-ghaziabad,11
ambala,guntur_palle,ambala-guntur_palle,4
ambala,guwahati,ambala-guwahati,27
ambala,hisar,ambala-hisar,2
ambala,hubballi,ambala-hubballi,1
ambala,hyderabad,ambala-hyderabad,21
ambala,indore,ambala-indore,228
ambala,jabalpur,ambala-jabalpur,10
ambala,jatola,ambala-jatola,7
ambala,kanpur,ambala-kanpur,4
ambala,karnal,ambala-karnal,2
ambala,kolkata,ambala-kolkata,12
ambala,lucknow,ambala-lucknow,109
ambala,ludhiana,ambala-ludhiana,4
ambala,mumbai,ambala-mumbai,3
ambala,panipat,ambala-panipat,3
ambala,sangrur,ambala-sangrur,1
ambala,sas_nagar,ambala-sas_nagar,7
ambala,tepla,ambala-tepla,3
ambala,udaipur,ambala-udaipur,106
ambala,valsad,ambala-valsad,1
ambala,varanasi,ambala-varanasi,116
ambala,vijayawada,ambala-vijayawada,20
ambernath,ballabhgarh,ambernath-ballabhgarh,2
ambernath,bengaluru,ambernath-bengaluru,4
amingaon,ahmedabad,amingaon-ahmedabad,1
amingaon,ambala,amingaon-ambala,2
amingaon,bhagalpur,amingaon-bhagalpur,5
amingaon,hyderabad,amingaon-hyderabad,1
amingaon,indore,amingaon-indore,67
amingaon,jabalpur,amingaon-jabalpur,14
amingaon,nagpur,amingaon-nagpur,16
amingaon,new_delhi,amingaon-new_delhi,2
amingaon,patna,amingaon-patna,26
amingaon,raipur,amingaon-raipur,23
amingaon,ranchi,amingaon-ranchi,16
amingaon,siliguri,amingaon-siliguri,23
amingaon,unnao,amingaon-unnao,3
amingaon,varanasi,amingaon-varanasi,12
amta,bilaspur,amta-bilaspur,1
amta,guwahati,amta-guwahati,2
amta,siliguri,amta-siliguri,128
anantapur,madurai,anantapur-madurai,2
anantapur,rapthadu,anantapur-rapthadu,4
ananthavaram,contai,ananthavaram-contai,4
ananthavaram,kadamattam,ananthavaram-kadamattam,1
ananthavaram,kalinagar,ananthavaram-kalinagar,1
ananthavaram,kochi,ananthavaram-kochi,1
ananthavaram,udupi,ananthavaram-udupi,1
andheri,bhiwandi,andheri-bhiwandi,3
angamaly,adilabad,angamaly-adilabad,1
angamaly,adoor,angamaly-adoor,1
angamaly,kozhikode,angamaly-kozhikode,1
angamaly,putalapattu,angamaly-putalapattu,1
anjar,sonipat,anjar-sonipat,1
arcod,chennai,arcod-chennai,1
ariyalur,reddipalayam,ariyalur-reddipalayam,2
ashta,bhiwandi,ashta-bhiwandi,1
asifabad,bangalore,asifabad-bangalore,2
asifabad,kolkata,asifabad-kolkata,2
aslali,ahmedabad,aslali-ahmedabad,5
aslali,bhiwandi,aslali-bhiwandi,3
aslali,gandhinagar,aslali-gandhinagar,1
aslali,indore,aslali-indore,1
aslali,jamnagar,aslali-jamnagar,1
aslali,nagpur,aslali-nagpur,1
aslali,pataudi,aslali-pataudi,1
aslali,tirchy,aslali-tirchy,1
aslali,vadodara,aslali-vadodara,4
aslali,vijayawada,aslali-vijayawada,2
athal,ahmedabad,athal-ahmedabad,17
athal,bhiwandi,athal-bhiwandi,11
athal,chennai,athal-chennai,15
athal,coimbatore,athal-coimbatore,9
athal,ghaziabad,athal-ghaziabad,12
athal,hubballi,athal-hubballi,4
athal,hyderabad,athal-hyderabad,2
athal,jabalpur,athal-jabalpur,8
athal,kolkata,athal-kolkata,4
athal,madurai,athal-madurai,11
athal,pune,athal-pune,20
atmakur,belagavi,atmakur-belagavi,1
atmakur,kadapa,atmakur-kadapa,2
atmakur,nallacheruvu,atmakur-nallacheruvu,1
auraiya,pataudi,auraiya-pataudi,1
aurangabad,coimbatore,aurangabad-coimbatore,7
aurangabad,lucknow,aurangabad-lucknow,1
aurangabad,sillod,aurangabad-sillod,1
bachupalle,hyderabad,bachupalle-hyderabad,1
badami,panvel,badami-panvel,18
bahadurgarh,guwahati,bahadurgarh-guwahati,51
bahadurgarh,lucknow,bahadurgarh-lucknow,52
bahadurgarh,patna,bahadurgarh-patna,31
bahadurgarh,ranchi,bahadurgarh-ranchi,17
baidyabati,ara,baidyabati-ara,3
baidyabati,ballia,baidyabati-ballia,8
baidyabati,banmankhi,baidyabati-banmankhi,1
baidyabati,begusarai,baidyabati-begusarai,8
baidyabati,bhagalpur,baidyabati-bhagalpur,30
baidyabati,bihar_sharif,baidyabati-bihar_sharif,7
baidyabati,bihta,baidyabati-bihta,1
baidyabati,buxar,baidyabati-buxar,5
baidyabati,chapra,baidyabati-chapra,1
baidyabati,danapur,baidyabati-danapur,21
baidyabati,dhanbad,baidyabati-dhanbad,6
baidyabati,gaya,baidyabati-gaya,9
baidyabati,goraul,baidyabati-goraul,2
baidyabati,guwahati,baidyabati-guwahati,8
baidyabati,hajipur,baidyabati-hajipur,17
baidyabati,harpur_belwa,baidyabati-harpur_belwa,8
baidyabati,katihar,baidyabati-katihar,1
baidyabati,lakhisarai,baidyabati-lakhisarai,3
baidyabati,mahammadpur,baidyabati-mahammadpur,1
baidyabati,mahua,baidyabati-mahua,3
baidyabati,mehnar,baidyabati-mehnar,1
baidyabati,motihari,baidyabati-motihari,2
baidyabati,munger,baidyabati-munger,6
baidyabati,muzaffarpur,baidyabati-muzaffarpur,48
baidyabati,naugachhia,baidyabati-naugachhia,3
baidyabati,nawada,baidyabati-nawada,6
baidyabati,patna,baidyabati-patna,118
baidyabati,purnia,baidyabati-purnia,36
